epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,186.363,0.50765,0.4043,0.85406,0.75397,0.66335,0.67196,0.44221,1.04391,0.77804,1.05421,0.000742625,0.000742625,0.000742625
43,190.463,0.50654,0.40588,0.85397,0.75791,0.71442,0.70169,0.47071,1.05035,0.79972,1.05798,0.00073025,0.00073025,0.00073025
44,194.513,0.50632,0.40348,0.85766,0.79616,0.64918,0.69014,0.46911,1.06085,0.84015,1.06627,0.000717875,0.000717875,0.000717875
45,198.758,0.49649,0.40036,0.85451,0.73286,0.72105,0.69163,0.45631,1.07267,0.86958,1.05524,0.0007055,0.0007055,0.0007055
46,202.92,0.49721,0.40046,0.85155,0.80054,0.718,0.70909,0.46089,1.06519,0.80789,1.04929,0.000693125,0.000693125,0.000693125
47,207.075,0.49522,0.4006,0.85105,0.81764,0.60693,0.65623,0.44253,1.09202,0.81276,1.05792,0.00068075,0.00068075,0.00068075
48,211.283,0.49919,0.39817,0.85493,0.84449,0.61445,0.69068,0.46247,1.06667,0.7933,1.06234,0.000668375,0.000668375,0.000668375
49,215.787,0.48891,0.39377,0.85302,0.75372,0.658,0.66875,0.4462,1.05923,0.84864,1.05272,0.000656,0.000656,0.000656
50,220.014,0.48763,0.39169,0.85087,0.71683,0.67505,0.67462,0.45065,1.04288,0.83437,1.04947,0.000643625,0.000643625,0.000643625
51,224.081,0.48215,0.38965,0.84695,0.84506,0.60222,0.69287,0.4618,1.02986,0.82943,1.04916,0.00063125,0.00063125,0.00063125
52,228.162,0.47794,0.38959,0.848,0.76385,0.67919,0.69694,0.47297,1.05273,0.84308,1.06269,0.000618875,0.000618875,0.000618875
53,232.201,0.4816,0.38494,0.85131,0.75545,0.71354,0.68659,0.46007,1.02034,0.83397,1.05767,0.0006065,0.0006065,0.0006065
54,236.293,0.47578,0.38905,0.84785,0.74835,0.70122,0.70601,0.4665,1.04539,0.82029,1.06414,0.000594125,0.000594125,0.000594125
55,240.407,0.47903,0.38696,0.84247,0.73813,0.70685,0.70512,0.47221,1.04392,0.80288,1.05869,0.00058175,0.00058175,0.00058175
56,244.583,0.48064,0.3885,0.84644,0.8403,0.64574,0.70879,0.47836,1.05652,0.79952,1.05908,0.000569375,0.000569375,0.000569375
57,249.431,0.47242,0.38685,0.84312,0.73382,0.7133,0.68271,0.4611,1.0608,0.82357,1.05205,0.000557,0.000557,0.000557
58,253.57,0.48144,0.38647,0.84792,0.88369,0.6341,0.69743,0.47072,1.06353,0.82391,1.05478,0.000544625,0.000544625,0.000544625
59,257.856,0.46932,0.38881,0.84443,0.86688,0.62574,0.69495,0.47295,1.04907,0.88274,1.05129,0.00053225,0.00053225,0.00053225
60,262.337,0.47436,0.38346,0.84717,0.77252,0.64198,0.67727,0.46552,1.0509,0.88203,1.0572,0.000519875,0.000519875,0.000519875
